FundID,Amount,FundCloseDate,FundCloseType,RowID,LastUpdated
20532-34F,4.279798,09/24/2024,Final Close,a73bbc929eca89c4cdf6b2bb7e04fb284a9ff339c1200a9f93a667ef30e1f431,12/09/2024
20684-80F,200.0,03/04/2021,First Close,3d3bb77d6d5352494506bb2a0c758c9f9816fdc8d98a87f5d2c07ba795bba86a,12/09/2024
20719-81F,75.0,01/25/2022,First Close,a62a8291a0b0e47fca1a5134355d06015eda3c2f05d388feae38ca3f20ab4c75,12/09/2024
20719-81F,75.0,02/27/2023,Final Close,0d73742ef1d77d3b906197d355bf3eeaebe9d509a2bae73a772aaf418eca257e,12/09/2024
20735-83F,42.6,03/10/2022,Final Close,a26f85c8937a16622291afd1989624a37d8d03971af80f009bcf2cd8bfa01b9a,12/09/2024
20795-59F,326.7,10/15/2021,Final Close,3b5ef15ac7c0db6cceed95675eb6dc4a09fa0006948479d198cab0e6f22af7b1,12/09/2024
20838-70F,83.7,02/08/2022,Final Close,4ac985907e80c088ece4074873cfe458f2bfa36416fce06b9f271af2f1951c7f,12/09/2024
20896-30F,487.07440458,02/16/2022,Final Close,e0fc0c4b5f192042573650b0a4ed726b2c1aed4b00ae308cd147ee1248459bb5,12/09/2024
20961-73F,206.0,02/24/2022,Final Close,69b7c2437d88b93b5669c23f33c5d7ae30b216424a5b2fa0d7e837d707537060,12/09/2024
20963-17F,265.0,04/26/2022,Final Close,1f753a779b35cefa74909f119767241af915f28bf4d187cb8da7d7112973183c,12/09/2024
21118-78F,389.85530993,01/01/2020,Final Close,04305011d1743d50210830ee01cff6b7241663cb0f3fc7d12fd65f3c06dc9e10,12/09/2024
